state,month_year,cocaine,heroin,methadone,number_of_deaths,number_drug_overdose_death,opioids,percent_drugs_specified,psychostimulants,unemployment_data
AK,Apr-2015,0,0,0,4133,126,0,0,0,6.5
AK,Apr-2016,0,0,0,4262,132,0,0,0,6.8
AK,Apr-2017,0,0,0,4325,117,0,0,0,7.0
AK,Apr-2018,0,0,0,4341,141,0,0,0,6.7
AK,Aug-2015,0,0,0,4222,124,0,0,0,6.5
AK,Aug-2016,0,0,0,4276,138,0,0,0,6.9
AK,Aug-2017,0,0,0,4234,137,0,0,0,7.0
AK,Aug-2018,0,0,0,4382,110,0,0,0,6.5
AK,Dec-2015,0,0,0,4193,121,0,0,0,6.7
AK,Dec-2016,0,0,0,4355,129,0,0,0,6.9
AK,Dec-2017,0,0,0,4279,141,0,0,0,6.8
AK,Feb-2015,0,0,0,4084,127,0,0,0,6.5
AK,Feb-2016,0,0,0,4198,128,0,0,0,6.7
AK,Feb-2017,0,0,0,4347,124,0,0,0,6.9
AK,Feb-2018,0,0,0,4304,139,0,0,0,6.7
AK,Jan-2015,0,0,0,4034,126,0,0,0,6.5
AK,Jan-2016,0,0,0,4213,126,0,0,0,6.7
AK,Jan-2017,0,0,0,4374,126,0,0,0,6.9
AK,Jan-2018,0,0,0,4260,138,0,0,0,6.8
AK,Jul-2015,0,0,0,4220,117,0,0,0,6.5
AK,Jul-2016,0,0,0,4269,143,0,0,0,6.9
AK,Jul-2017,0,0,0,4236,128,0,0,0,7.0
AK,Jul-2018,0,0,0,4337,115,0,0,0,6.6
AK,Jun-2015,0,0,0,4201,121,0,0,0,6.5
AK,Jun-2016,0,0,0,4261,138,0,0,0,6.9
AK,Jun-2017,0,0,0,4276,122,0,0,0,7.0
AK,Jun-2018,0,0,0,4309,124,0,0,0,6.6
AK,Mar-2015,0,0,0,4101,125,0,0,0,6.5
AK,Mar-2016,0,0,0,4230,125,0,0,0,6.8
AK,Mar-2017,0,0,0,4359,126,0,0,0,6.9
AK,Mar-2018,0,0,0,4286,135,0,0,0,6.7
AK,May-2015,0,0,0,4196,125,0,0,0,6.5
AK,May-2016,0,0,0,4241,140,0,0,0,6.9
AK,May-2017,0,0,0,4277,120,0,0,0,7.0
AK,May-2018,0,0,0,4351,125,0,0,0,6.6
AK,Nov-2015,0,0,0,4219,115,0,0,0,6.6
AK,Nov-2016,0,0,0,4289,133,0,0,0,6.9
AK,Nov-2017,0,0,0,4308,138,0,0,0,6.9
AK,Oct-2015,0,0,0,4241,120,0,0,0,6.6
AK,Oct-2016,0,0,0,4291,131,0,0,0,6.9
AK,Oct-2017,0,0,0,4283,144,0,0,0,6.9
AK,Sep-2015,0,0,0,4242,125,0,0,0,6.5
AK,Sep-2016,0,0,0,4256,131,0,0,0,6.9
AK,Sep-2017,0,0,0,4299,148,0,0,0,7.0
AL,Apr-2015,0,0,0,50565,738,0,0,0,6.1
AL,Apr-2016,0,0,0,50391,676,0,0,0,5.9
AL,Apr-2017,0,0,0,51794,795,0,0,0,4.7
AL,Apr-2018,0,0,0,53243,780,0,0,0,4.1
AL,Aug-2015,0,0,0,50930,736,0,0,0,6.1
AL,Aug-2016,0,0,0,50756,685,0,0,0,5.8
AL,Aug-2017,0,0,0,52075,808,0,0,0,4.1
AL,Aug-2018,0,0,0,53469,738,0,0,0,3.9
AL,Dec-2015,0,0,0,50870,720,0,0,0,6.0
AL,Dec-2016,0,0,0,51431,740,0,0,0,5.7
AL,Dec-2017,0,0,0,52307,807,0,0,0,3.9
AL,Feb-2015,0,0,0,50004,723,0,0,0,6.0
AL,Feb-2016,0,0,0,50555,710,0,0,0,5.9
AL,Feb-2017,0,0,0,51542,759,0,0,0,5.2
AL,Feb-2018,0,0,0,53272,797,0,0,0,4.0
AL,Jan-2015,0,0,0,49543,715,0,0,0,6.0
AL,Jan-2016,0,0,0,50534,706,0,0,0,6.0
AL,Jan-2017,0,0,0,51652,763,0,0,0,5.5
AL,Jan-2018,0,0,0,53105,786,0,0,0,3.9
AL,Jul-2015,0,0,0,50841,743,0,0,0,6.2
AL,Jul-2016,0,0,0,50683,681,0,0,0,5.8
AL,Jul-2017,0,0,0,52035,809,0,0,0,4.2
AL,Jul-2018,0,0,0,53445,753,0,0,0,4.0
AL,Jun-2015,0,0,0,50658,756,0,0,0,6.2
AL,Jun-2016,0,0,0,50613,674,0,0,0,5.8
AL,Jun-2017,0,0,0,52000,804,0,0,0,4.3
AL,Jun-2018,0,0,0,53353,760,0,0,0,4.1
AL,Mar-2015,0,0,0,50486,733,0,0,0,6.1
AL,Mar-2016,0,0,0,50348,681,0,0,0,5.9
AL,Mar-2017,0,0,0,51668,794,0,0,0,5.0
AL,Mar-2018,0,0,0,53222,782,0,0,0,4.0
AL,May-2015,0,0,0,50516,755,0,0,0,6.2
AL,May-2016,0,0,0,50511,654,0,0,0,5.8
AL,May-2017,0,0,0,51943,812,0,0,0,4.5
AL,May-2018,0,0,0,53273,783,0,0,0,4.1
AL,Nov-2015,0,0,0,51093,725,0,0,0,6.0
AL,Nov-2016,0,0,0,51110,718,0,0,0,5.8
AL,Nov-2017,0,0,0,52254,799,0,0,0,3.9
AL,Oct-2015,0,0,0,51091,730,0,0,0,6.0
